Attribute,Speaker ID,Count,Score
Relevance,320,57,4.7
Relevance,321,30,3.4
Relevance,322,47,4.5
Relevance,323,137,4.2
Relevance,324,10,4.2
Relevance,325,27,4.3
Relevance,326,12,4
Relevance,328,16,4.6
Relevance,330,15,3.3
Relevance,331,24,3.8
Relevance,332,15,3.6
Relevance,334,31,4.5
Relevance,335,10,4.7
Relevance,336,17,3
Relevance,337,41,4.2
Relevance,338,13,4.7
Relevance,339,9,3.2
Relevance,340,28,3.9
Relevance,341,8,3.8
Relevance,342,8,4
Relevance,344,37,3.6
Relevance,345,9,4.2
Relevance,346,23,3.8
Relevance,347,54,4
Relevance,348,35,4.3
Relevance,349,6,2.8
Relevance,350,8,4.5
Relevance,351,24,4.5
Relevance,352,33,4.5
Relevance,353,25,4.9
Relevance,354,16,4.1
Relevance,357,145,3.1
Relevance,358,6,4
Relevance,360,16,4.3
Relevance,361,6,4.8
Relevance,362,15,3.6
Relevance,363,7,3.6
Relevance,364,7,4.7
Relevance,365,84,4.7
Relevance,367,6,4.7
Relevance,368,34,3.3
Relevance,369,21,3.7
Relevance,370,32,4.3
Relevance,371,48,4
Relevance,372,5,3.6
Relevance,373,10,4.2
Relevance,374,8,4.4
Relevance,375,22,4.4
Relevance,377,11,4.4
Relevance,379,26,3.9
Relevance,380,8,4.9
Relevance,384,7,4
Relevance,389,26,4
Relevance,391,40,4
Relevance,452,5,3.8
Relevance,455,44,4.3
Relevance,475,12,4.2
Relevance,477,11,4
Relevance,483,12,4.3
Relevance,485,7,3.9
Relevance,493,42,4.4
Relevance,497,17,4.1
Relevance,507,19,4.1
Relevance,514,16,3.6
Relevance,515,11,4.5
Relevance,547,74,3.3
Relevance,553,16,3.9
Speaker presentation,267,26,4.3
Speaker presentation,268,9,4.8
Speaker presentation,269,26,2.7
Speaker presentation,270,18,3.2
Speaker presentation,271,12,4.7
Speaker presentation,272,20,3.8
Speaker presentation,273,52,4.2
Speaker presentation,274,5,4.8
Speaker presentation,275,11,4.5
Speaker presentation,276,43,4.2
Speaker presentation,277,42,3.2
Speaker presentation,278,19,3.8
Speaker presentation,279,54,4.1
Speaker presentation,280,7,4.4
Speaker presentation,281,15,4
Speaker presentation,283,8,4.1
Speaker presentation,284,8,4.6
Speaker presentation,285,24,4.6
Speaker presentation,286,27,4.8
Speaker presentation,287,26,4.3
Speaker presentation,288,11,4.4
Speaker presentation,289,26,4
Speaker presentation,291,11,3.8
Speaker presentation,293,5,5
Speaker presentation,294,27,3.7
Speaker presentation,295,11,4.5
Speaker presentation,296,23,4.2
Speaker presentation,297,20,4.7
Speaker presentation,298,146,4.6
Speaker presentation,299,14,3.9
Speaker presentation,301,29,3.8
Speaker presentation,302,8,3.4
Speaker presentation,303,33,4.8
Speaker presentation,304,8,3.9
Speaker presentation,305,111,4.8
Speaker presentation,306,31,4.2
Speaker presentation,307,80,3.3
Speaker presentation,308,9,3.3
Speaker presentation,310,62,4.1
Speaker presentation,311,38,2.8
Speaker presentation,312,5,4.4
Speaker presentation,313,9,4.3
Speaker presentation,314,21,4.7
Speaker presentation,316,104,4.3
Speaker presentation,317,139,4.8
Speaker presentation,318,7,4.7
Speaker presentation,319,21,4.3
Speaker presentation,320,57,4.9
Speaker presentation,321,30,3.4
Speaker presentation,322,47,4.7
Speaker presentation,323,137,4.6
Speaker presentation,324,10,4
Speaker presentation,325,27,4.2
Speaker presentation,326,12,3.9
Speaker presentation,328,16,4.7
Speaker presentation,330,15,3.5
Speaker presentation,331,24,4.1
Speaker presentation,332,15,3.7
Speaker presentation,334,31,4.5
Speaker presentation,335,10,4.7
Speaker presentation,336,17,3.9
Speaker presentation,337,41,4.9
Speaker presentation,338,13,4.6
Speaker presentation,339,9,3.6
Speaker presentation,340,28,3.8
Speaker presentation,341,8,3.9
Speaker presentation,342,8,4.5
Speaker presentation,344,37,3.4
Speaker presentation,345,9,4
Speaker presentation,346,23,4.1
Speaker presentation,347,54,4.1
Speaker presentation,348,35,4.3
Speaker presentation,349,6,2.8
Speaker presentation,350,8,4.6
Speaker presentation,351,24,4.5
Speaker presentation,352,33,4.8
Speaker presentation,353,25,4.7
Speaker presentation,354,16,4.6
Speaker presentation,357,145,4.1
Speaker presentation,358,6,4.3
Speaker presentation,360,16,4.3
Speaker presentation,361,6,4.8
Speaker presentation,362,15,3.9
Speaker presentation,363,7,3.1
Speaker presentation,364,7,4.4
Speaker presentation,365,84,4.9
Speaker presentation,367,6,4.7
Speaker presentation,368,34,4.1
Speaker presentation,369,21,3.8
Speaker presentation,370,32,4.3
Speaker presentation,371,48,4
Speaker presentation,372,5,4
Speaker presentation,373,10,4.3
Speaker presentation,374,8,4.4
Speaker presentation,375,22,4.2
